name,product_id,price,store,stock,description,rating,reviews,image,rollout_date,category_n
"Maybelline SuperStay Matte Ink Liquid Lipstick, Coffee Edition, Mocha Inventor, 0.17 fl. oz.",4be5f716-59fc-4387-989a-a0f94eb760e7,7.98,Durgan-Graham,265,"Intensely perfect, perfectly intense. Fuel lips in rich coffee colors. No Transfer! Up to 16 hours of saturated liquid matte with Maybelline New Yorks Superstay Matte Ink Coffee Edition Liquid Lipstick! This highly pigmented liquid matte lipstick features a unique arrow applicator for precise application. The formula is long-lasting and gives a flawless matte finish in six coffee inspired shades with delectable coffee scents. For easy removal, use with Maybellines SuperStay Eraser lipstick remover. Up to 16 hours of coffee inspired liquid matte lipstick Delectable Coffee Scent Long-lasting, saturated matte lip color Matte Ink Coffee Edition Liquid Lipstick is available in a range of richly blended coffee shades",0,0,037312b4-b512-4bdb-be42-650233094b43.310eab9940e962a294d599cb6b092ba9.jpeg,2021-06-11T19:53:34,Beauty:Beauty by Top Brands:Maybelline New York
Shark VACMOP Multi-Surface Cleaner Refill 2L bottle,4117cbf2-9148-4ebc-9353-0c2460fd2441,9.98,"Collier, Ankunding and Kunde",84,"Shark VACMOP Multi-Surface Hard Floor Cleaner is formulated to deliver a complete clean with Shark VACMOP. Breaks up stuck-on residue for shiny floors. Fast-drying. Streak-free. Designed for all sealed floors. Available in Spring clean scent. Quickly breaks up stuck-on stains For use on all sealed floors—stone, hardwood, vinyl, laminate, tile, marble, and linoleum Fast-drying, streak-free Designed to work with the Shark VACMOP Cordless Vacuum Mop Comes in a spring clean scent VACMOP Multi Surface Cleaner has achieved GREENGUARD GOLD Certification for low chemical emissions",0,0,de891a55-7a0c-415d-b368-364f75117f98.b156e307975063c49a061caafe33aac4.jpeg,2020-10-10T04:50:58,Household Essentials:Cleaning Supplies:Surface Care & Protection
"Folliculit Solution Medicated Body Wash for body acne, folliculitis, ingrown hairs, scars, butt acne, chest, back, thighs folliculitis - antibacterial & antifungal body wash - 6.0 OZ",7c2e28b1-8b5c-4348-a85c-79ee676157ed,29.95,Durgan-Graham,238,"This soapless soap formulation developed to provide relief from itching and irritation of the skin caused by demodex mites. Non drying, non irritating body soap contains natural oils known for its anti bacterial, anti demodex properties. Recommended for daily use in shower or bath. It washes away skin parasites, nourishes and cleanses hair follicles, strengthens immune system of the skin. Can be used for any skin type. Made thiner than most similar products, the Body Wash penetrates deep into the hair follicles eliminating infection of hair follicles providing relief from itching and irritation. Helps to stop skin itching and irritation, effectively eliminates yeast, bacteria and fungi responsible for folliculitis. Now with even more anti bacterial, anti fungal ingredients the body wash can be used daily for treatment of Folliculitis, Ringworms, Yeast, and other bacterial infections of the skin and and hair follicles. 100% Risk-Free satisfaction guarantee to let you buy with complete confidence. PURPOSE: Body Folliculitis, Ringworm, Yeast, and other bacterial infections of the skin and the hair follicles.",0,0,b600b9f6-c5f5-408e-824a-26b938289e01_1.3d15e048666f9345d9cd1cabaddfee78.jpeg,2020-11-14T18:04:58,Personal Care:Bath & Body:Body Wash & Shower Gel
"Almay Eye Makeup Remover Pads, Longwear & Waterproof 80 ea (Pack of 3)",9fc2aaa1-6cb3-4469-98c0-438b5e24d560,20.83,"Collier, Ankunding and Kunde",54,"Free Shipping Pack of 3 Pack of 3 for the UPC: 309975924480 Gently removes all traces of eye makeup, even stubborn waterproof mascaras and longwearing products. Ingredients:  Paraffinum Liquidum (Mineral Oil), Propylene Glycol Dicaprylate/Dicaprate, C12 15 Alkyl Benzoate, Aloe Barbadensis Leaf Extract, Cucumis Sativus (Cucumber) Fruit Extract, Camellia Sinensis Leaf Extract, Phenoxyethanol, Methylparaben, Propylparaben",0,0,ede7f7fb-65d2-4855-81ba-ecda1fe815b1_1.cda3055df6c021def7811e3c7579c1b1.jpeg,2021-01-02T06:56:20,Beauty:Skin Care:Makeup Remover
"(Pack of 2) Ivory Clean Aloe Bath Bar, 10 count, 4.0 oz",7d6cbf4a-eeb8-414f-b0af-996a90f91d7a,7.96,Durgan-Graham,200,"Ivory Clean Aloe Bar Soap is free of dyes and heavy perfumes and reflects over 130 years of experience creating gentle products the whole family can trust.Ivory Clean Aloe Bath Bar, 10 count: Pure Clean (it floats!) Offers a simple, effective clean for the whole family. 4 out of 5 moms recommend it. For beautiful-looking skin Free of dyes & heavy perfumes",0,0,1cf56617-8feb-47ac-8f9f-8574e55ae05f_1.691698d39af9b72b91a018dddfe28ea4.png,2020-11-09T18:33:11,Personal Care:Bath & Body:Bar Soap
"FDS Intimate + Body Dry Feminine Deodorant Spray, Extra Strength, 3 pack",aab71a3d-26d9-4770-a782-731cf59b7548,7.48,"Schulist, Collier and Christiansen",291,"With FDS Intimate + Body Extra Strength Dry Feminine Deodorant Spray, dont be afraid to break a sweat. FDS Extra Strength Spray is there to keep you confident through the sweatiest workout, the longest day ever and everything in between. Each one of our sprays are made with a blend of ingredients that are safe and gentle enough to use anywhere. Get off to a fresh start and stay fresh with the only feminine spray with a time-release formula that virtually guarantees all-day freshness. Safe and gentle enough to use daily on your most sensitive areas, our moisture-activated ingredients work to neutralize odors without the use of talcum powder. And with soothing agents like vitamin E and chamomile, you can even spray your underwear, pads, and panty liners directly. We empower you to feel confident, clean, and in command by offering feminine care products specifically formulated for your unique needs. FDS developed a first-of-its kind Intimate + Body collection featuring products that are safe and gentle to use daily on your intimates, and on the rest of your body without stripping away the skins natural moisture. Own your Fresh by selecting from a variety of fragrances to go here, there and everywhere. TALC-FREE: Features a sulfate-free and talc-free formula thats kind to your skin HYPOALLERGENIC: Does not contain allergens that are known to irritate the skin GYNECOLOGIST TESTED: Tested by professionals who understand feminine hygiene well PROVEN SAFE & GENTLE: Safe for everyday use and designed for all-day freshness FOR INTIMATE, UNDERARM & BODY USE: Simply shake the can, remove the cap, hold can 8 inches away, and spray external area",0,0,17957e6e-374d-423f-83e8-4e3a97b60e75.6d702af9d4f355d5d841f0c66c8bcfab.jpeg,2021-01-03T18:10:27,Personal Care:Feminine Care:Feminine Deodorant Sprays & Powders
9-Day Vitamin C Immunity Cleanse (18 Total 16 floz Bottles + 9 Total 3 floz Shots) - FREE 2-Day Delivery,4a6ced72-4b6a-444e-bbbc-9e1c20c1bc36,114.99,Durgan-Graham,23,"All the juices in this cleanse are high in natural Vitamin C. Unlike many vitamin supplements, all of the Vitamin C comes from the fresh pressed fruits & vegetables. Simply drink 2 juices per day and one of our Lemon Ginger Cayenne Booster Shots. You can drink them anytime during the day, and the Booster Shot should be slowly sipped and is not to be consumed in one shot. 9-DAY WEIGHT LOSS PROGRAM: Packed with healthy nutrients and enzymes, our juice cleanses are designed to help make your body feel detoxified and unhindered. Each of our cleanse options will detoxify your body of accumulated impurities and leave you looking and feeling as if you were glowing. Our juice cleanse contains high quantities of protein as well as a healthy dose of essential minerals and vitamins. COLD-PRESSED & RAW (not blended): Pressing produce helps keep the nutrient-rich enzymes intact and is the healthiest way for you to get your raw, unadulterated juices. Cold-pressing provides 3-5 times the nutrients and enzymes than your average juice. FRESH, FROZEN & SAFE: The juices are sent frozen is special packaging to keep them cold and maintain freshness. They are sent unpasteurized and are meant to be consumed within 3-4 days upon arrival unless frozen. We use ORGANIC produce because we care about your health and wellness. Made from FRESH Fruits & Vegetables. KOSHER CERTIFIED",0,0,f4af2819-2878-420f-bb1b-d32626853647.5107e9dd7198611fd64457bb3f4dddca.jpeg,2021-01-05T10:35:29,Health:Vitamins & Supplements:Supplements
Women'S Originals U_Path X Shoes,94ef17fd-2e3b-48aa-976e-328ac94f09eb,75.99,"Collier, Ankunding and Kunde",248,"With a sleek feel and futuristic look, the U_Path runner represents the next generation of track-inspired streetwear. These shoes come with a lightweight mesh upper. A leather heel cap adds luxe texture.",0,0,WOMEN_ORIGINALS_SHOES_EE7159_1.jpg,2021-07-28T05:30:02,shoese:brand:Adidas
"Wet n Wild Fergie 8-in-1 Beauty Balm Cream, G.L.A.M. Maker A105 Deep, SPF 15, 1 fl oz",f561090a-4022-457f-82cf-0dcd550450e8,33.54,"Schulist, Collier and Christiansen",273,"Wet n Wild Fergie 8-in-1 Beauty Balm Cream is a sheer coverage formula featuring skin beautifying ingredients. This eight-in-one beauty miracle hydrates, brightens, evens skin tone, minimizes oil, conceals, enhances, primes and protects skin with Broad Spectrum SPF 15. Wet n Wild Fergie 8-in-1 Beauty Balm Cream: A sheer coverage formula featuring skin beautifying ingredients The must-have G.L.A.M. maker",0,0,2180c16a-a683-4c0a-b5b4-76fae5751025_1.4a0cdcd3174825e16b52c9ab5204874d.jpeg,2020-11-12T07:54:36,Beauty:Makeup:Face Makeup
Men'S Adidas Originals By Alexander Wang Futureshell Shoes,442600e5-d4fc-457a-8638-652b291600b9,219.99,"Collier, Ankunding and Kunde",197,Sweat it out with Alexander Wang. The designer embraces a nostalgic workout aesthetic with performance-inspired garments that can be worn to the club or the gym. These shoes combine a patent leather upper with a rubber outsole.,0,0,adidas_EE8489_1.jpg,2021-09-08T15:42:39,shoese:brand:Adidas
"Maybelline Fit Me Matte + Poreless Liquid Foundation Makeup, Natural Ivory, 1 fl. oz.",3b68bce6-667e-4e15-909e-7d873f890f15,5.34,"Collier, Ankunding and Kunde",16,"Looking for the perfect foundation fit? Maybelline New Yorks Fit Me Matte + Poreless Liquid Foundation is all about fitting your skin tone and texture. Ideal for normal to oily skin types, the matte foundations ultra-lightweight formula features flexible micro-powders to control shine and blur pores throughout the day. With its medium coverage, the liquid foundation leaves a natural finish on the skin that is never flat or cakey. The oil-free mattifying foundation is available in 40 shades—our most diverse shade range ever! It is dermatologist & allergy tested. Packaging May Vary Get a matte finish Ultra-lightweight foundation absorbs oil for a matte and poreless-looking finish This liquid foundation goes beyond matching skin tone, it also matches the texture of normal to oily skin Does not clog pores and is oil-free",0,0,60f1fa7e-c953-43ce-924b-a99fd4929368.4fd7cb596f83723034d2fbc04ce09d2a.jpeg,2021-06-03T05:44:31,Beauty:Makeup:Face Makeup
"Rimmel London Kate 42 Lasting Finish Lipstick, 0.14 oz",4f4846aa-8ada-4d4c-bfbc-85d0762e1ef5,15.95,"Collier, Ankunding and Kunde",128,"42 Lasting Finish LipstickRimmel London Kate 42 Lasting Finish Lipstick, 0.14 oz",0,0,5d5efa5d-f3e5-4c0a-b9fc-1a0ff4be6ab5_1.a8625409e88831e33bdc27a9890598e6.jpeg,2020-12-24T00:56:15,Beauty:Beauty by Top Brands:Rimmel
"MILANI Green Goddess Glow Oil, Glow Face Oil",b6240fb0-4ed5-4ea1-94d1-d10a3a45f35c,14.97,"Collier, Ankunding and Kunde",70,"Take your glow higher! Soothe stressed out skin and bring out your inner goddess glow with, essential fatty acid-rich, organic Cannabis Sativa Seed Oil infused, Green Goddess Glow Oil. This ultra-lightweight, multi-use oil helps lock in hydration and soothe stressed out skin. Fast-absorbing oil works with all skin types to deliver exceptionally radiant skin. The perfect first step in makeup prep. MILANI Green Goddess Glow Oil: 100% plant-based, lightweight formula hydrates skin for an all-day glow Cannabis Sativa Seed Oil, rich in essential omega fatty acids. Soothes, nourishes and calms skin.  All natural anti-oxidant complex with Vtiamin E, Rosemary and Sunflower extracts  Fast-absorbing oil works with all skin types  Luxury fragrance blend with notes of bergamot, vetiver and verbena  Cruelty-free & vegan",0,0,2f1f6b04-e38e-4d86-b4ca-67b910ce9010_1.775fd9667f1da258726731c5e191c6a9.jpeg,2021-05-29T09:37:00,Health:Aromatherapy:Aromatherapy
"GuruNanda, 100% Pure Clove Essential Oil, Aromatherapy, 15ml",461d1e6d-01ea-42e6-9c9e-fc4e5ca5c19b,5.94,"Collier, Ankunding and Kunde",162,"When diffused, Clove Essential Oil smells like Christmas. Enjoy its warm, spicy, and woody aroma. Aroma: Warm, Spicy, Woody Country of Origin: Indonesia Plant Part: Clove Consistency: Thin ✓ Approved for use with Natural Mist Method of Extraction: Steam Distillation100% Pure Clove Essential Oil",0,0,579c3cbd-c708-469d-b31b-1cb5745c9074_1.76720a85d018a9203411c43bef36dda5.jpeg,2021-09-27T14:41:28,Health:Aromatherapy:Essential Oils
"Tussy Deodorant Cream, Original - 1.7 Oz (3 Pack)",8d96506d-209e-4c8d-9970-29d5b5e75048,10.49,"Collier, Ankunding and Kunde",152,"Tussy Cream Original Fresh Spice Deodorant glides on smooth and dry.. Gives you gentle, effective, and long lasting protection against wetness and odor.Tussy Cream Original Fresh Spice Deodorant glides on smooth and dry and is specially formulated to give you gentle, effective, and long lasting protection against wetness and odor.6 Jars 1.7 OZ (48g) - Original Fresh Spice.",0,0,94839892-6fa7-43e9-ae45-3f620b4f0ef7_1.995c09ecf295b80f8c2987690086afbe.jpeg,2021-05-05T11:41:16,Beauty:Here for Every Beauty:Bath & Body
O-cedar Playtex Living Combo Pack Medium,869e70df-210e-4419-8659-1947fbff2b8d,4.97,"Schulist, Collier and Christiansen",198,O-Cedar Playtex 2pk Living Gloves Medium,0,0,ba72e4cb-ee45-4930-9f3f-e745d2f2b288.ab22232699f13a8fb782d79d12e32359.jpeg,2021-07-19T18:53:22,Household Essentials:Cleaning Supplies:Cleaning Tools
Love Beauty and Planet Hemp Seed Oil & Nana Leaf Body Wash 16 oz,b8d8d82b-1b64-4831-a433-e7036e8f506d,16.01,"Schulist, Collier and Christiansen",118,"At Love Beauty and Planet we are committed to acts of love that make you and our planet a little more beautiful, every day. Our goal is a carbon footprint so small its like we werent even here. We started our journey by loading our vegan beauty and bodywash products with goodness, like loading our products with mild cleansers and ethically sourced fragrances. Every one of our body wash bottles is made from 100% recycled materials and is recyclable. Our caps and pumps arent made from recycled plastics yet, but were working on it. This moisturizing body wash, blended with naturally sourced Hemp Seed Oil, nourishes and moisturizes skin. Enter a cozy cocoon with the relaxing scent of sweet Nana Mint Leaf. Release tension as the calming, soothing scent welcomes you to your new happy place. How to use? You know it - squeeze, lather rinse. Go easy on the tap! Dont stop with our Blissful Moisture Body Wash for dry skin! Try our on-the-go Coconut Water and Mimosa Flower Waterless Cleansing Mist that recharges your skin with a burst of instant freshness. We are starting a beautiful movement. Are you in? To learn more about our moisturizing body wash and our other dry skin body wash products & bath soap bars, visit lovebeautyandplanet.com. Our Body Wash Promise: Love Beauty and Planet Hemp Seed Oil & Nana Leaf Body Wash nourishes skin and releases tension. Blissful Moisture Body Wash for Women: Our moisturizing bodywash is infused with Organic Coconut Oil for skin Body Wash With Nature-Inspired Ingredients: Infused with naturally sourced Hemp Seed Oil & the relaxing scent of Nana Mint Leaf, this moisturizing body wash works to nourish and moisturize skin YES Coconut Oil for skin, YES Naturally Sourced Hemp Seed Oil, YES Ethically Sourced Nana Leaf, YES Dry Skin Body Wash, YES Body Wash Sensitive Skin YES Womens Body Wash, YES Vegan Body Wash Bodywash With Four Free Froms: Paraben-free, body wash Sulfate-free, body wash Cruelty-free body wash, Dye-free body wash Sensitive Skin Body Wash With Naturally Derived Ingredients: This paraben free body wash for dry skin is safe to use on all skin types, and is 92% Naturally Derived.",0,0,eec76585-5a31-4f0d-b7a0-b0210f99c29e_1.3e093cb4898acfc1b8af277a07cffba5.jpeg,2021-05-12T08:29:11,Personal Care:Bath & Body:Body Wash & Shower Gel
Men'S Adidas Originals Skateboarding Varial Shoes,9dd89287-33a1-4807-bec7-fd717741c923,79.99,"Schulist, Collier and Christiansen",52,Resist blowouts on the skateboard with assistance of these stylish adidas Originals Varial Mid cut shoes for men. Padded tongue and collar offer you ultimate cushioning. Mid cut ensures that your ankle gets optimum support while the 3-stripes stitched design makes it stylish. ,0,0,Men_SKATEBOARDING_SHOES_MID_CQ1149_1.jpg,2020-12-12T16:36:35,shoese:brand:Adidas
"Complete Kit Urinary Incontinence One-Week, 7-Condom Catheters External Self-Seal 32mm (Intermediate), + Premium Leg Bag 32 oz 1000ml, Tubing, Straps & Fast and Easy Draining",33233347-7cb8-43a9-a8e4-b778d6b3f7fb,17.49,"Collier, Ankunding and Kunde",251,"Complete Kit Urinary Incontinence One-Week, 7-Condom Catheters External Self-Seal 32mm (Intermediate), + Premium Leg Bag 32 oz 1000ml, Tubing, Straps & Fast and Easy Draining",0,0,80446988-2ff4-4845-921d-da878bf0a1d4_1.c54c34fedec2970c664e956127693a1a.jpeg,2021-07-05T16:35:41,Personal Care:Incontinence:All Incontinence
Alfalfa 10 Grain 648mg,504abfc0-a16c-4a9d-8844-173d42befcf6,17.66,"Schulist, Collier and Christiansen",229,"Source Naturals Alfalfa is 20% protein, and is the purest and highest quality available.Alfalfa 10 Grain 648mg by Source Naturals Inc. 250 Tablet Alfalfa 10 Grain 648mg 250 Tablet Product Source Naturals Alfalfa is 20 protein and is the purest and highest quality available. Suggested Use As a dietary supplement take 6 tablets daily - Or as directed by your healthcare professional. Supplement Facts Serving Size 6 Tablets Servings Per Container 41 Amount Per Serving Daily Value Calories 20 Total Carbohydrate 2 g 1 Dietary Fiber 1 g 4 Protein 1 g 2 Vitamin A 793 IU 16 Vitamin C 3 mg 5 Calcium 517 mg 52 Iron 4 mg 22 Sodium 15 mg 1 Organic Alfalfa Leaf 3.89 g Percent Daily Values are based on a 2 000 calorie diet Other Ingredients Dibasic calcium phosphate stearic acid silicified microcrystalline cellulose modified cellulose gum silica and magnesium stearate. Does Not Contain Contains no yeast dairy egg gluten corn soy or wheat. Contains no sugar starch preservatives or artificial color flavor or fragrance. Suitable for vegetarians and hypoallergenic. Warnings Keep out of rea",0,0,fbab925a-75cf-498a-bbf6-35ead97df448_1.66a7fdd81f294db04eec45b5fc3e1bd5.jpeg,2021-08-02T02:46:57,Health:Superfoods & Cleanses:Superfoods
"Onyx Professional Moisturizing Formula Lavender Nail Polish Remover, 16 fl oz",1911f55f-0a75-442a-bd28-ba43d20ce60c,2.48,"Schulist, Collier and Christiansen",188,"Lavender moisturizing salon strength formula. Conditions nails with vitamin e & grape seed oil. Removes nail polish, nail glue, nail glitter & more. Lavender scented. Includes two 16 oz. bottles and comes with nail file. Lavender moisturizing salon strength formula Conditions nails with vitamin e and grape seed oil Removes nail polish, nail glue, nail glitter and more Lavender scented Includes two 16 oz. bottles and comes with nail file Free from parabens Not tested on animals",0,0,0d67235f-3f2e-4981-975a-7720e4428936_1.da268a15205fa5efbff43121fe31b272.jpeg,2021-07-08T12:42:17,Beauty:Makeup:Nails
Men'S Adidas Comfort Flip Flops,c1ad91aa-89a2-43a8-9c67-2b1d9f24fc58,27.99,Durgan-Graham,273,Wear them all summer from the pool to the beach. These sandals combine rugged durability with quick-drying step-in cushioning as you spend your day in comfortable bliss. Heritage details show off your adidas inspiration.,0,0,MEN_SWIM_SLIPPERS_EG2066_1.jpg,2021-09-21T12:56:31,shoese:brand:Adidas
Vaginal Speculum Grave Large OB/Gynecology,bde550b9-9790-4ef4-ac77-457558371193,7.99,"Schulist, Collier and Christiansen",281,Vaginal Speculum Grave Large OB/Gynecology,0,0,3422d4cd-5b07-4e58-9b98-7e029700e8aa_1.0721946925167884b0155ccab6aab799.jpeg,2021-07-21T05:27:54,Personal Care:Feminine Care:All Feminine Care
